Date,Open,High,Low,Close,Volume
2021-01-04,2207.05,2216.44,2154,2169.04,5961733122
2021-01-05,2167.82,2182.39,2149.74,2165.49,4566381178
2021-01-06,2170.82,2185.2,2170.31,2178.57,4425472339
2021-01-07,2181.27,2204.97,2179.09,2194.48,5874708279
2021-01-10,2201.38,2238.24,2201.38,2235.72,6326646806
2021-01-11,2264.27,2266.44,2229.13,2239.42,5524832993
2021-01-12,2243.16,2267.73,2233.61,2267.73,4982391897
2021-01-13,2279.04,2296.17,2277.26,2286.54,5914389261
2021-01-17,2299.33,2316.8,2297.5,2315,6374267782
2021-01-18,2333.87,2340.57,2319.58,2332.31,6314664167
2021-01-19,2361.99,2362.86,2304.98,2326.9,7467439848
2021-01-20,2361.52,2362.99,2322.72,2342.76,6210966026
2021-01-21,2372.86,2376.13,2354.7,2374.64,7798528433
2021-01-24,2396.74,2429.11,2396.74,2424.84,9376053220
2021-01-25,2447.01,2456.22,2408.87,2440.87,8903538731
2021-01-26,2461.42,2462.28,2419.89,2423.09,8279701077
2021-01-27,2433.74,2449.42,2416.62,2441.85,8006238770
2021-01-28,2460.83,2460.83,2420.64,2425.29,9898456128
2021-01-31,2425.53,2425.53,2366.46,2370.54,8973206450
2021-02-01,2372.04,2413.18,2372.04,2408.24,6972936529
2021-02-02,2434.48,2473.73,2429.9,2473.73,8593472987
2021-02-03,2490.53,2519.85,2457.99,2466.92,9531716496
2021-02-04,2479.6,2481.59,2443.68,2475.26,7615071093
2021-02-07,2486.79,2524,2486.79,2524,10441951304
2021-02-08,2553.78,2563.29,2538.83,2561.47,10619163869
2021-02-09,2562.43,2585.15,2524.44,2534.37,8146269193
2021-02-10,2544.8,2547.76,2511.03,2543.03,7649411398
2021-02-11,2552.33,2565.13,2524.81,2526.92,8411732003
2021-02-14,2536.47,2536.47,2482.24,2493.59,6927668931
2021-02-15,2517.46,2586.01,2538.22,2586.01,10384197669
2021-02-16,2615.36,2631.37,2584.14,2601.51,10035454955
2021-02-17,2619.8,2623.64,2596.19,2611.45,8035510844
2021-02-18,2634.47,2642.47,2619.17,2636.68,8762146785
2021-02-21,2667.27,2667.59,2619.58,2640.34,8834603967
2021-02-22,2665.86,2673.85,2603.86,2607.67,8406310671
2021-02-23,2627.33,2627.33,2519.41,2586.51,8561539426
2021-02-24,2600.32,2620.45,2498.58,2599.07,6701872439
2021-02-25,2622.7,2622.77,2547.84,2554.13,6098188414
2021-02-28,2557.79,2559.43,2474.39,2474.39,8355289814
2021-03-01,2488.33,2524.4,2442.6,2515.03,5692316831
2021-03-02,2523.45,2529.64,2437.25,2455.33,6119638669
2021-03-03,2449.23,2428.88,2391.4,2416,6254809442
2021-03-04,2425.2,2506.68,2427.25,2506.68,6058104317
2021-03-07,2519.96,2525.3,2473.57,2485.09,5005466480
2021-03-09,2494.05,2494.05,2453.53,2461.88,4752708147
2021-03-10,2476.93,2477.71,2446.33,2458.48,4100406337
2021-03-14,2466.26,2467.2,2397.52,2407.25,4952722195
2021-03-15,2418.51,2432.17,2380.16,2389.19,4248424066
2021-03-16,2400.04,2416.84,2369.66,2391.74,3375699339
2021-03-17,2399.21,2432.14,2390.42,2432.14,3374552178
2021-03-18,2448.72,2476.36,2441.65,2475.09,4661792187
2021-03-21,2494.48,2538.46,2492.9,2538.46,5919824569
2021-03-22,2564.07,2568.07,2509.38,2514.39,5351353625
2021-03-23,2524.43,2531.04,2496.38,2528.95,5141897169
2021-03-24,2550.07,2570.26,2550.07,2570.25,6674423941
2021-03-25,2584.79,2594.25,2544.15,2548.97,6500806040
2021-03-29,2558.23,2562.03,2537.82,2543.52,4410345030
2021-03-30,2545.54,2575.95,2545.54,2575.67,6185679498
2021-03-31,2596.66,2619.02,2592.99,2619.03,6166957318
2021-04-01,2645.49,2645.49,2615.43,2631.89,7250924124
2021-04-04,2658.3,2658.55,2646.59,2657.61,9006858558
2021-04-05,2679.38,2681.76,2639.92,2658.74,7296760156
2021-04-06,2675.57,2675.57,2642.17,2674.46,7477795738
2021-04-07,2694.54,2694.54,2668.34,2671.61,7266972570
2021-04-08,2690.12,2690.12,2672.48,2674.35,6556616680
2021-04-12,2681.6,2693.7,2671.89,2691.55,7610828050
2021-04-13,2698.07,2714.79,2688.48,2714.79,7143151000
2021-04-15,2735.4,2755,2732.41,2735.46,8636668659
2021-04-18,2759.89,2759.89,2697.88,2699.51,8801803215
2021-04-19,2715.83,2716.18,2656.63,2661.93,6766801224
2021-04-20,2673.24,2684.55,2646.43,2664.61,5538617640
2021-04-21,2674.82,2674.82,2625.92,2632.2,5772251203
2021-04-22,2647.11,2650.14,2609.75,2648,5915139888
2021-04-25,2664.69,2664.7,2564.43,2572.22,7284194901
2021-04-26,2571.49,2579.18,2501.38,2506.61,6590928202
2021-04-27,2506.52,2599.08,2506.52,2599.07,5109096957
2021-04-28,2606.56,2622.43,2564.73,2585.28,3990431236
2021-04-29,2601.21,2611.37,2583.18,2611.1,4357019249
2021-05-02,2627.81,2665.1,2611.03,2665.11,7360800500
2021-05-03,2676.45,2692.89,2645.8,2652.75,7529290146
2021-05-04,2652.27,2663.39,2640.63,2654.69,6052236811
2021-05-05,2675.95,2675.95,2648.74,2649.6,6216814313
2021-05-06,2658.69,2658.69,2626.38,2637.13,6810091453
2021-05-09,2652.58,2652.58,2613.78,2618.56,6148966772
2021-05-10,2613.17,2646.76,2608.13,2645.85,4203832789
2021-05-11,2647.48,2680.62,2645.77,2673.32,5810673071
2021-05-12,2685.4,2687.34,2664.32,2673.88,5326052801
2021-05-13,2701.82,2701.82,2679.18,2684.01,7126885280
2021-05-16,2693.9,2738.29,2693.9,2738.29,10026628116
2021-05-17,2748.83,2770.86,2748.04,2759.21,9576361139
2021-05-18,2780.7,2794.28,2767.25,2793.89,11359360092
2021-05-19,2816.26,2821.86,2769.72,2780.81,11958097411
2021-05-20,2807.52,2807.52,2776.17,2787.18,9305222004
2021-05-23,2768.86,2820,2738.7,2820,11695034728
2021-05-24,2840.21,2850.55,2807.95,2823.06,13175353188
2021-05-25,2828.06,2836.1,2804.44,2816.56,11133398108
2021-05-27,2784.59,2835.39,2763.19,2815.39,14768808492
2021-05-30,2836.11,2854.48,2815.86,2827.93,17028432245
2021-05-31,2842.28,2849.26,2781.69,2782.68,13909113291
2021-06-01,2790.71,2799.07,2751.44,2771.15,8598160117
2021-06-02,2793.22,2827.12,2771.42,2827.12,11351815356
2021-06-03,2833.84,2875.04,2833.84,2856.67,16907020286
2021-06-06,2884.07,2919.1,2884.74,2906.89,17271787525
2021-06-07,2928.09,2932.39,2892.98,2906.7,15818659063
2021-06-08,2931.17,2960.14,2926.51,2960.14,16951299040
